customer_id,first_name,last_name,email,phone,date_of_birth,address,income,account_status,created_date
1,Linda,Smith,linda.smith1@example.net,450-428-3286,1992-02-22,"9035 Oak Avenue, Arlington, VA 22201",117447.43,active,2016-04-08
2,Andrew,Martin,andrew.martin2@example.com,774-403-9928,1971-04-15,"9754 Elm Street, Springfield, IL 62701",188867.16,active,2026-07-11
3,Sarah,Jones,sarah.jones3@example.org,981-544-2674,1950-07-04,"5981 Birch Court, Arlington, VA 22201",84078.42,active,2026-08-18
4,Linda,Robinson,linda.robinson4@mail.example.com,280-765-5803,1998-11-20,"6025 Highland Avenue, Georgetown, OH 45121",177369.23,active,2025-04-25
5,Charles,Williams,charles.williams5@example.org,303-589-5554,1974-11-27,"6077 Cedar Lane, Franklin, TN 37064",103317.39,suspended,2019-12-22
6,John,Martin,john.martin6@example.org,746-946-5010,1955-08-13,"4522 River Drive, Georgetown, OH 45121",173138.22,active,2018-01-26
7,Daniel,Gonzalez,daniel.gonzalez7@example.net,267-416-6155,1958-11-16,"6582 Sunset Boulevard, Fairview, TX 75001",84154.6,active,2026-09-18
8,Thomas,White,thomas.white8@mail.example.com,797-608-6930,1959-03-17,"8185 Oak Avenue, Springfield, IL 62701",210553.82,active,2025-03-26
9,Margaret,Martin,margaret.martin9@example.com,594-590-8668,1978-05-18,"288 Oak Avenue, Salem, OR 97301",187186.09,suspended,2020-02-10
10,Margaret,Garcia,margaret.garcia10@mail.example.com,203-939-5315,1977-03-17,"1843 Elm Street, Salem, OR 97301",157101.68,active,2020-03-18
11,Kimberly,Robinson,kimberly.robinson11@example.com,813-531-9005,1946-02-12,"5138 Pine Road, Springfield, IL 62701",79064.78,suspended,2016-02-24
12,Ashley,Clark,ashley.clark12@example.com,978-745-3060,1953-11-16,"9107 Cedar Lane, Clinton, NY 13323",139866.84,suspended,2021-04-18
13,Richard,Thompson,richard.thompson13@example.net,608-887-7118,1973-09-15,"2082 Pine Road, Georgetown, OH 45121",41573.49,active,2024-09-08
14,Donna,Davis,donna.davis14@example.com,272-924-1964,1959-02-02,"5513 Oak Avenue, Salem, OR 97301",78456.98,suspended,2022-04-18
15,William,White,william.white15@mail.example.com,448-684-7669,1957-02-04,"7162 Birch Court, Greenville, SC 29601",115153.68,suspended,2015-11-21
16,Michael,Johnson,michael.johnson16@mail.example.com,945-547-2790,1960-04-07,"8886 Sunset Boulevard, Fairview, TX 75001",117438.91,inactive,2022-04-28
17,John,Anderson,john.anderson17@example.com,251-867-9856,1998-01-03,"3972 Cedar Lane, Greenville, SC 29601",130955.92,active,2021-01-06
