customer_id,first_name,last_name,email,phone,date_of_birth,address,income,account_status,created_date
1,L***,S***,l***@example.net,***-***-3286,1992-**-**,[MASKED ADDRESS],117447.43,active,2016-04-08
2,A***,M***,a***@example.com,***-***-9928,1971-**-**,[MASKED ADDRESS],188867.16,active,2026-07-11
3,S***,J***,s***@example.org,***-***-2674,1950-**-**,[MASKED ADDRESS],84078.42,active,2026-08-18
4,L***,R***,l***@mail.example.com,***-***-5803,1998-**-**,[MASKED ADDRESS],177369.23,active,2025-04-25
5,C***,W***,c***@example.org,***-***-5554,1974-**-**,[MASKED ADDRESS],103317.39,suspended,2019-12-22
6,J***,M***,j***@example.org,***-***-5010,1955-**-**,[MASKED ADDRESS],173138.22,active,2018-01-26
7,D***,G***,d***@example.net,***-***-6155,1958-**-**,[MASKED ADDRESS],84154.6,active,2026-09-18
8,T***,W***,t***@mail.example.com,***-***-6930,1959-**-**,[MASKED ADDRESS],210553.82,active,2025-03-26
9,M***,M***,m***@example.com,***-***-8668,1978-**-**,[MASKED ADDRESS],187186.09,suspended,2020-02-10
10,M***,G***,m***@mail.example.com,***-***-5315,1977-**-**,[MASKED ADDRESS],157101.68,active,2020-03-18
11,K***,R***,k***@example.com,***-***-9005,1946-**-**,[MASKED ADDRESS],79064.78,suspended,2016-02-24
12,A***,C***,a***@example.com,***-***-3060,1953-**-**,[MASKED ADDRESS],139866.84,suspended,2021-04-18
13,R***,T***,r***@example.net,***-***-7118,1973-**-**,[MASKED ADDRESS],41573.49,active,2024-09-08
14,D***,D***,d***@example.com,***-***-1964,1959-**-**,[MASKED ADDRESS],78456.98,suspended,2022-04-18
15,W***,W***,w***@mail.example.com,***-***-7669,1957-**-**,[MASKED ADDRESS],115153.68,suspended,2015-11-21
16,M***,J***,m***@mail.example.com,***-***-2790,1960-**-**,[MASKED ADDRESS],117438.91,inactive,2022-04-28
17,J***,A***,j***@example.com,***-***-9856,1998-**-**,[MASKED ADDRESS],130955.92,active,2021-01-06
18,A***,S***,a***@mail.example.com,***-***-5673,1972-**-**,[MASKED ADDRESS],68258.35,active,2015-10-24
19,K***,J***,k***@example.net,***-***-8811,1977-**-**,[MASKED ADDRESS],208484.62,active,2024-02-22
20,J***,G***,j***@example.com,***-***-1651,1984-**-**,[MASKED ADDRESS],95070.41,inactive,2018-11-23
21,D***,D***,d***@example.net,***-***-5915,1974-**-**,[MASKED ADDRESS],159685.76,suspended,2016-02-18
22,S***,T***,s***@example.net,***-***-2127,2001-**-**,[MASKED ADDRESS],204753.93,suspended,2019-10-26
23,K***,S***,k***@example.net,***-***-3200,1961-**-**,[MASKED ADDRESS],87732.33,active,2026-06-07
