customer_id,first_name,last_name,email,phone,date_of_birth,address,income,account_status,created_date,quarantine_reason
61,Anthony,Davis,anthony.davis165@example.net,408-538-2295,2004-08-28,"6179 Oak Avenue, Salem, OR 97301",181611.96,active,2015-05-13,duplicate_customer_id
57,Thomas,Moore,thomas.moore169@mail.example.com,502-356-4214,1966-04-13,"9435 Pine Road, Madison, WI 53703",144736.22,suspended,2020-05-25,duplicate_customer_id
31,Donna,Thompson,donna.thompson201@example.net,927-824-8015,1955-10-05,"3485 Pine Road, Springfield, IL 62701",148855.76,suspended,2019-10-18,duplicate_customer_id
64,David,Hernandez,david.hernandez202@example.net,496-786-5380,1999-09-22,"1660 Cedar Lane, Greenville, SC 29601",222778.97,inactive,2025-03-23,duplicate_customer_id
133,Matthew,O'Br13N,matthew.gonzalez133@example.org,978-579-9437,1980-02-11,"4060 Sunset Boulevard, Riverside, CA 92501",84703.99,active,2017-02-02,last_name:alphabetic
134,Charles,Gonzalez,charles.gonzalez134@mail.example.com,454-363-6364,2004-10-24,1 A St,133632.29,suspended,2022-08-10,address:length_10_200
135,Ashley,Smith,ashley.smith135@example.com,602-717-8491,1960-04-19,"5881 Maple Street, Springfield, IL 62701",87647.54,suspended,13/40/2026,created_date:valid_date
136,Charles,Moore,charles.moore136@example.com,310-641-3194,2001-05-24,"6092 Willow Way, Franklin, TN 37064",,active,2024-09-07,income:non_empty
137,Lisa,Moore,lisa.moore137@example.net,,1973-09-09,"2046 Cedar Lane, Riverside, CA 92501",111507.59,inactive,2023-06-25,phone:non_empty
138,Elizabeth,Miller,elizabeth.miller138@mail.example.com,712-241-1742,1947-03-23,,124881.57,suspended,2023-03-11,address:non_empty
139,Michelle,Hernandez,michelle.hernandez139@example.org,12345,1982-06-17,"8451 River Drive, Madison, WI 53703",178252.84,inactive,2022-01-12,phone:valid_format
140,Nancy,Perez,nancy.perez140@example.com,626-797-6040,1995-12-28,"536 Highland Avenue, Madison, WI 53703",48585388.93,suspended,2024-10-08,income:le_10_000_000
141,Patricia,Jackson,patricia.jackson141@mail.example.com,,1954-11-08,"617 Highland Avenue, Riverside, CA 92501",68446.28,inactive,2020-07-05,phone:non_empty
142,Mark,Thompson,mark.thompson142@example.org,620-713-8726,1838-02-28,"1120 Cedar Lane, Salem, OR 97301",71956.44,inactive,2025-08-17,date_of_birth:age_le_150
143,Anthony,Hernandez,anthony.hernandez143@example.org,670-745-6608,1979-06-22,"4431 Highland Avenue, Madison, WI 53703",-15292.13,active,2019-09-10,income:non_negative
145,Matthew,Harris,matthew.harris145@example.org,497-243-5712,1990-02-12,"7347 Elm Street, Madison, WI 53703",73365.2,closed,2019-09-23,account_status:allowed_value
146,Sarah,Jones,sarah.jones146@example.com,830-958-4920,1960-01-22,"8800 Pine Road, Georgetown, OH 45121",-27260.3,inactive,2020-12-16,income:non_negative
147,Maximilianusmaximilianusmaximilianusmaximilianusmaximilianus,Perez,michael.perez147@example.org,205-763-3587,1971-11-16,"7922 Pine Road, Clinton, NY 13323",96087.55,suspended,2015-02-21,first_name:length_2_50
148,Joshua,Davis,joshua.davis148@example.com,379-627-3880,2024-02-30,"6604 Sunset Boulevard, Fairview, TX 75001",226561.05,inactive,2015-01-10,date_of_birth:valid_date
149,Joshua,Martin,missing.domain@,543-491-8444,1986-09-17,"8192 Cedar Lane, Salem, OR 97301",127220.4,active,2016-06-06,email:valid_format
151,Daniel,Williams,daniel.williams151@mail.example.com,885-297-4027,1859-02-26,"4164 Maple Street, Clinton, NY 13323",109317.77,inactive,2019-06-10,date_of_birth:age_le_150
152,Donna,White,donna.white152@example.com,467-869-6890,1990-13-05,"2036 Sunset Boulevard, Clinton, NY 13323",61859.97,suspended,2023-12-25,date_of_birth:valid_date
153,Karen,Thompson,karen.thompson153@example.com,854-502-7021,1839-02-06,"2288 Sunset Boulevard, Fairview, TX 75001",124455.48,suspended,2020-07-23,date_of_birth:age_le_150
154,Emily,Robinson,emily.robinson154@mail.example.com,975-750-4578,1868-01-07,"9861 Oak Avenue, Salem, OR 97301",122710.57,suspended,2020-02-19,date_of_birth:age_le_150
155,Linda,Johnson,@nodomain.com,786-749-3455,1955-06-28,"8625 Sunset Boulevard, Riverside, CA 92501",172222.59,suspended,2024-08-03,email:valid_format
156,,Anderson,andrew.anderson156@example.com,664-335-9409,1971-08-19,"1045 River Drive, Madison, WI 53703",170626.75,inactive,2026-01-13,first_name:non_empty
160,Maximilianusmaximilianusmaximilianusmaximilianusmaximilianus,Clark,anthony.clark160@example.org,453-671-6671,1954-05-07,"1948 Maple Street, Greenville, SC 29601",158363.72,active,2018-04-03,first_name:length_2_50
162,Maximilianusmaximilianusmaximilianusmaximilianusmaximilianus,Clark,joseph.clark162@example.net,791-812-6253,1960-05-05,"8640 Pine Road, Greenville, SC 29601",91706.2,active,2023-10-24,first_name:length_2_50
163,Barbara,Lee,barbara.lee163@mail.example.com,555-CALL-NOW,1967-11-22,"6344 River Drive, Franklin, TN 37064",175617.38,inactive,2017-05-13,phone:valid_format
164,Maximilianusmaximilianusmaximilianusmaximilianusmaximilianus,Harris,barbara.harris164@mail.example.com,446-430-5927,1999-12-05,"7686 Maple Street, Salem, OR 97301",115487.63,inactive,2023-09-05,first_name:length_2_50
166,Kevin,Martin,kevin.martin166@example.com,274-392-4555,1975-04-28,"5555 Elm Street, Springfield, IL 62701",44036548.38,active,2026-02-24,income:le_10_000_000
167,Steven,Robinson,steven.robinson167@example.org,912-818-4350,1970-04-18,"5369 Elm Street, Greenville, SC 29601",126845.1,unknown,2020-05-09,account_status:allowed_value
168,Lisa,Taylor,lisa.taylor168@mail.example.com,677-300-8692,1993-06-07,1 A St,37691.67,active,2026-03-01,address:length_10_200
170,Ashley,White,ashley.white170@mail.example.com,671-372-6770,1955-03-24,,222382.67,suspended,2025-01-17,address:non_empty
171,Robert,Clark,robert.clark171@example.com,884-249-1104,1971-03-27,,29937.99,suspended,2022-06-02,address:non_empty
172,Michelle,Lee,michelle.lee172@mail.example.com,875-699-1257,1945-09-18,"6839 Maple Street, Springfield, IL 62701",140236.54,inactive,2026-02-30,created_date:valid_date
173,,Clark,andrew.clark173@mail.example.com,383-309-2578,1978-03-08,"3244 Highland Avenue, Salem, OR 97301",81512.66,inactive,2019-07-03,first_name:non_empty
174,Lisa,Gonzalez,lisa.gonzalez174@mail.example.com,778-449-4700,1964-11-27,1 A St,113919.0,inactive,2023-08-02,address:length_10_200
175,James,Thompson,james.thompson175@example.org,284-711-8109,1986-06-19,"1662 River Drive, Springfield, IL 62701",76710.5,unknown,2024-08-09,account_status:allowed_value
176,Robert,Robinson,robert.robinson176@example.com,900-487-9897,2027-12-21,"3038 Birch Court, Springfield, IL 62701",231831.47,suspended,2017-12-27,date_of_birth:not_future
177,Betty,Robinson,betty.robinson177@example.com,506-366-4939,1981-07-22,,188189.16,active,2026-12-03,address:non_empty
178,Andrew,Smith$,andrew.white178@example.net,254-300-8161,1959-02-11,"9858 Willow Way, Franklin, TN 37064",34280.64,inactive,2022-08-08,last_name:alphabetic
179,Matthew,Moore,matthew.moore179@mail.example.com,,1950-10-10,"4137 Oak Avenue, Riverside, CA 92501",84810.07,inactive,2026-11-05,phone:non_empty
